Individual,collection,AHR,AIING,BDNF,BMP2,HMGB2,HNFL,NB22519,PSMC1,PAX1P1,R35,RAG-1,TB01,TB29,TB73,ZFHX1B
Agigantea_HBS118599,H.B Shaffer Collection,MT958268,MT963935,MT959071,MT959337,MT965141,MT959879,MT960290,MT964649,MT961111,MT961185,MT961681,MT962105,MT962592,MT963043,MT963399
Agigantea_HBS118600,H.B Shaffer Collection,MT958269,MT963936,MT959072,MT959338,MT965140,MT959880,MT960291,MT964652,MT961088,MT961186,MT961682,MT962106,MT962593,MT963044,MT963400
Aldabrachelys_sp_HBS121013,H.B Shaffer Collection,MT958270,MT963937,MT959073,MT959339,MT965139,MT959881,MT960292,MT964650,MT961112,MT961187,MT961683,MT962107,MT962594,MT963045,MT963401
Aldabrachelys_sp_HBS121014,H.B Shaffer Collection,MT958271,MT963938,MT959074,MT959340,MT965138,MT959882,MT960293,MT964651,MT961113,MT961188,MT961684,MT962108,MT962595,MT963046,MT963402
Aradiata_HBS117743,H.B Shaffer Collection,MT958276,MT963943,MT959108,MT959345,MT965118,MT959886,MT960296,MT964663,MT961064,MT961193,MT961689,MT962111,MT962600,MT963048,MT963407
Aradiata_HBS117744,H.B Shaffer Collection,MT958277,MT963944,MT959109,MT959346,MT965407,MT959887,MT960297,MT964664,MT961065,MT961194,MT961690,MT962112,MT962601,MT963049,MT963408
Bborneoensis_HBS112448,H.B Shaffer Collection,MT958283,MT963951,MT959045,MT959353,MT965506,MT959892,MT960302,MT964731,MT961066,MT961200,MT961695,MT962117,MT962607,MT963053,GU085843
Bborneoensis_HBS112453,H.B Shaffer Collection,MT958284,MT963952,MT959046,MT959354,MT965162,MT959893,MT960303,MT964970,MT961069,MT961201,MT961696,MT962118,MT962608,MT963054,MT963415
Btrivittata_HBS112440,H.B Shaffer Collection,MT958286,MT963956,MT959050,MT959357,MT965161,MT959895,MT960307,MT964868,MT961091,MT961205,MT961699,MT962122,MT962612,MT963056,MT963418
Btrivittata_HBS112441,H.B Shaffer Collection,GU085508,GU085527,GU085546,GU085565,GU085584,GU085603,GU085617,GU085635,GU085653,GU085682,GU085669,GU085693,GU085711,MT963057,GU085835
Cabingdoni_HBS117543,H.B Shaffer Collection,MT958287,MT963957,MT959158,MT959359,MT965135,MT959896,MT960309,MT964654,MT961033,MT961206,MT961700,MT962124,MT962613,MT963058,MT963420
Cacutirostris_USNMFS187920,United States National Museum,MT958289,MT963959,MT958908,MT959361,MT965502,MT959898,MT960311,MT964866,MT960898,MT961208,MT961701,MT962126,MT962615,MT963060,MT963422
Camboinensis_FMNH255262,Field Museum of Natural History,JQ596009,JQ596049,JQ596089,JQ596129,JQ596169,EF011278,JQ596218,JQ596392,JQ596357,EF011428,JQ596438,JQ596485,JQ596524,JQ596562,JQ596600
Camboinensis_TNHC62989,Texas Natural History Collections,JQ596010,JQ596050,MT959219,MT959362,JQ596170,EF011279,JQ596219,JQ596393,JQ596358,EF011429,MT961702,MT962127,JQ596525,JQ596563,MT963423
Caurocapitata_FMNH261570,Field Museum of Natural History,JQ596011,JQ596051,JQ596091,JQ596131,JQ596171,EF011280,JQ596220,JQ596394,JQ596359,EF011430,JQ596440,JQ596487,JQ596526,JQ596564,JQ596602
Caurocapitata_MVZ234642,Museum of Vertebrate Zoology,JQ596012,JQ596052,JQ596092,JQ596132,JQ596172,EF011281,JQ596221,JQ596395,JQ596360,EF011431,JQ596441,JQ596488,JQ596527,JQ596565,JQ596603
Cbourreti_FMNH261579,Field Museum of Natural History,JQ596014,JQ596054,JQ596094,JQ596134,JQ596174,JQ596208,JQ596223,JQ596397,JQ596361,DQ386658,JQ596443,JQ596490,JQ596529,JQ596567,JQ596605
