Individual,collection,AHR,AIING,BDNF,BMP2,HMGB2,HNFL,NB22519,PSMC1,PAX1P1,R35,RAG-1,TB01,TB29,TB73,ZFHX1B
Acartilaginea_FMNH258869,Field Museum of Natural History,MT958264,MT963931,MT958836,MT959333,MT965013,MT959876,MT960287,MT964488,MT961004,MT961181,MT961678,MT962103,MT962588,-,MT963395
Acartilaginea_HBS125643,H.B Shaffer Collection,MT958265,MT963932,MT958837,MT959334,MT965012,MT959877,-,MT964489,-,MT961182,-,MT962104,MT962589,-,MT963396
Aferox_CAS202549,California Academy of Sciences,MT958266,MT963933,MT958826,MT959335,MT965005,-,MT960288,MT964485,MT960742,MT961183,MT961679,-,MT962590,MT963041,MT963397
Aferox_HBS108681,H.B Shaffer Collection,MT958267,MT963934,MT958827,MT959336,MT965004,MT959878,MT960289,MT964484,MT961013,MT961184,MT961680,-,MT962591,MT963042,MT963398
Agigantea_HBS118599,H.B Shaffer Collection,MT958268,MT963935,MT959071,MT959337,MT965141,MT959879,MT960290,MT964649,MT961111,MT961185,MT961681,MT962105,MT962592,MT963043,MT963399
Agigantea_HBS118600,H.B Shaffer Collection,MT958269,MT963936,MT959072,MT959338,MT965140,MT959880,MT960291,MT964652,MT961088,MT961186,MT961682,MT962106,MT962593,MT963044,MT963400
Aldabrachelys_sp_HBS121013,H.B Shaffer Collection,MT958270,MT963937,MT959073,MT959339,MT965139,MT959881,MT960292,MT964650,MT961112,MT961187,MT961683,MT962107,MT962594,MT963045,MT963401
Aldabrachelys_sp_HBS121014,H.B Shaffer Collection,MT958271,MT963938,MT959074,MT959340,MT965138,MT959882,MT960293,MT964651,MT961113,MT961188,MT961684,MT962108,MT962595,MT963046,MT963402
Amutica_HBS108560,H.B Shaffer Collection,MT958272,MT963939,MT958823,MT959341,-,MT959883,MT960294,MT964789,MT960720,MT961189,MT961685,-,MT962596,MT963047,MT963403
Amutica_RCT20,Robert Thomson Collection,MT958273,MT963940,MT958822,MT959342,-,-,MT960295,MT964482,MT960714,MT961190,MT961686,-,MT962597,-,MT963404
Apallidipectoris_HBS121003,H.B Shaffer Collection,MT958274,MT963941,MT959299,MT959343,MT965317,MT959884,-,MT964880,-,MT961191,MT961687,MT962109,MT962598,-,MT963405
Apallidipectoris_HBS121004,H.B Shaffer Collection,MT958275,MT963942,MT959295,MT959344,MT965316,MT959885,-,MT964881,-,MT961192,MT961688,MT962110,MT962599,-,MT963406
Aradiata_HBS117743,H.B Shaffer Collection,MT958276,MT963943,MT959108,MT959345,MT965118,MT959886,MT960296,MT964663,MT961064,MT961193,MT961689,MT962111,MT962600,MT963048,MT963407
Aradiata_HBS117744,H.B Shaffer Collection,MT958277,MT963944,MT959109,MT959346,MT965407,MT959887,MT960297,MT964664,MT961065,MT961194,MT961690,MT962112,MT962601,MT963049,MT963408
